Structure [idcode]	MolRegNo	m	Value	Unit	Type	pValue	Ligand Efficiency	Binding Efficiency	Surface Efficiency	Assay Category	Assay Organism	Target ID	Target Name	Target Organism	Target Description	Sequence Accession	Reference	Pubmed ID	DOI	
ff}`@@@IToKJsujwhuTBA@YU@BGH !BR@Nwo_x`?g}W@gB}]{wWw_y?BHK~_}_|CpLH@pb}UpHH_M_|jfCmdM_]	56831		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ff}`@@@IToKJsujwhuTBA@YU@BGH !BR@Nwo_x`?g}W@gB}]{wWw_y?BHK~_}_|CpLH@pb}UpHH_M_|jfCmdM_]	56831		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
dk\d@Dq]@\bbbbfJZ]MjjZe`@ !B]?s~pC_}MxHH`i_|?k?~@I^}g~V_faNX	381693		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
dk\d@Dq]@\bbbbfJZ]MjjZe`@ !B]?s~pC_}MxHH`i_|?k?~@I^}g~V_faNX	381693		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fle``@@`edbfRadtRQcNN}P@UUUTP@@ !BMwuH_S\B?g|w_S]}?g?W?Gz?_hBw_[\BRHKW@c]}_hAH@c_|	699395		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fle``@@`edbfRadtRQcNN}P@UUUTP@@ !BMwuH_S\B?g|w_S]}?g?W?Gz?_hBw_[\BRHKW@c]}_hAH@c_|	699395		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fhiA`@@LCdTRTQRbRuNN}@DS@A@B@h !BzsK~@K]}mpJw@ozXmwvw_[_|mwvw@oy?mwvw__y?ztt	103658		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fhiA`@@LCdTRTQRbRuNN}@DS@A@B@h !BzsK~@K]}mpJw@ozXmwvw_[_|mwvw@oy?mwvw__y?ztt	103658		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
egdRDH@AOFnfJ`ICHhdieeDedeEEMBeQpIHyyuL]]@DUUUUKUUPs@@@ !BKEam|@AAwN`|FMgp@FDxkDjPzHKpo_{@zHHh`o{@zHKpoRbBrKw~`O{_RHKHPe^|?h@XoQaBrHKHOP	7714		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
egdRDH@AOFnfJ`ICHhdieeDedeEEMBeQpIHyyuL]]@DUUUUKUUPs@@@ !BKEam|@AAwN`|FMgp@FDxkDjPzHKpo_{@zHHh`o{@zHKpoRbBrKw~`O{_RHKHPe^|?h@XoQaBrHKHOP	7714		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
figIB@AV[thIAIe]eeeUezLTZM\}`@iZ`XJbI@@@ !B@GxBMxJH`Kz@?`IHpG{LIzpXdNkedABeRCwTQM}fr@KH@nW`YQBA`D`}RCw_Yda|	186191		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
figIB@AV[thIAIe]eeeUezLTZM\}`@iZ`XJbI@@@ !B@GxBMxJH`Kz@?`IHpG{LIzpXdNkedABeRCwTQM}fr@KH@nW`YQBA`D`}RCw_Yda|	186191		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fagQ@@F}AdTbdVQfRdrrRhIVg^rUoZjjjjjjVjkdJDTTHdQjbuGb@@ !B?k?`iYNgMpI~ota|?hCLYtb}RKuH?Gz?RKuHo_y?RHI~`Db}RKwH`nBZxFTlYp	1363818		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fagQ@@F}AdTbdVQfRdrrRhIVg^rUoZjjjjjjVjkdJDTTHdQjbuGb@@ !B?k?`iYNgMpI~ota|?hCLYtb}RKuH?Gz?RKuHo_y?RHI~`Db}RKwH`nBZxFTlYp	1363818		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fleQb@LQ``P@cIIBhhehldmNBeZ`X@@`@@@ !BoS]|Ms_|b@Hw_Ta}?`@Aos_|R@IH@gz@Mww~`M_|MpIH?G^}	233590		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fleQb@LQ``P@cIIBhhehldmNBeZ`X@@`@@@ !BoS]|Ms_|b@Hw_Ta}?`@Aos_|R@IH@gz@Mww~`M_|MpIH?G^}	233590		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
dmuD`LVD@HrRRqIXYV`@`@@ !B`c\CMw^BRHK~@Db}R@IH`da}RGp	1159		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
dmuD`LVD@HrRRqIXYV`@`@@ !B`c\CMw^BRHK~@Db}R@IH`da}RGp	1159		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
feg@Q@HHGL@QvPrRPsIYJJJIKYJBdxNZkP@SPLDTq@HJP !BYppxCI_]rMtw_Oy?MpLw?_y?MtO~OyBeT{o~opc|GE^??``CROw~Wta|mwuH@?x?upH	451936		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
feg@Q@HHGL@QvPrRPsIYJJJIKYJBdxNZkP@SPLDTq@HJP !BYppxCI_]rMtw_Oy?MpLw?_y?MtO~OyBeT{o~opc|GE^??``CROw~Wta|mwuH@?x?upH	451936		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fnk@`@@ErJIJYJIKSQJVcIJ]zNVjZjjjjnjXIRRiZ^TT@ !B~yH{s_xhN}H{ToxhN|t{TcoRNpw~jKl]nwH{Tozh_xWweoxXOTSvDD]|]rp	1376044		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fnk@`@@ErJIJYJIKSQJVcIJ]zNVjZjjjjnjXIRRiZ^TT@ !B~yH{s_xhN}H{ToxhN|t{TcoRNpw~jKl]nwH{Tozh_xWweoxXOTSvDD]|]rp	1376044		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fjmqb@LRMA@`AFRREQQKKQIYZmdju@pQUUD@@ !Bo[_|mta|]pHH__z@MpNA_x`B]pIw@la}m?vptcd_]pJpGPpgYc}@pP	56131		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fjmqb@LRMA@`AFRREQQKKQIYZmdju@pQUUD@@ !Bo[_|mta|]pHH__z@MpNA_x`B]pIw@la}m?vptcd_]pJpGPpgYc}@pP	56131		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fbm`A@D`bBQFQQQYZJIQYEgK^CFB@jBHJHPJ^P@ !B~JJXg_zp?e}D`m`b?gC~\MabivK~LI`]?cBXXl]bvFKXG_x@i|H	53616		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fbm`A@D`bBQFQQQYZJIQYEgK^CFB@jBHJHPJ^P@ !B~JJXg_zp?e}D`m`b?gC~\MabivK~LI`]?cBXXl]bvFKXG_x@i|H	53616		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fdiQb@LN``p@cIIChdlidiIRu@AUU@@@ !ByCK~i{_|yDvw_[\B?g~w_[]}?g~w?^lr?g~w?_y?ztwdSP	5528		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fdiQb@LN``p@cIIChdlidiIRu@AUU@@@ !ByCK~i{_|yDvw_[\B?g~w_[]}?g~w?^lr?g~w?_y?ztwdSP	5528		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fbmIR@AZ|fBKNb@HrRPrJI[QQETEHr\kUUUMRmVLHdi@@ !B?Zwfd?tdzKj|UNmR{_w~rLc~NRQk~\c~Xja?ZimbfV_LSHlcUvD	207		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fbmIR@AZ|fBKNb@HrRPrJI[QQETEHr\kUUUMRmVLHdi@@ !B?Zwfd?tdzKj|UNmR{_w~rLc~NRQk~\c~Xja?ZimbfV_LSHlcUvD	207		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
f`aa`@M@YKHhdhcLeISd@QUUP@@ !BM{w~_s\BMxMw__{_]{pw@`E@MswW?C\}@c]W?Ktw	583322		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
f`aa`@M@YKHhdhcLeISd@QUUP@@ !BM{w~_s\BMxMw__{_]{pw@`E@MswW?C\}@c]W?Ktw	583322		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fgApB@LLx@HRevUUpPTcViYj@H@@@ !B?dCoY^?jtya??iNgdycoFn?e]pMw_K]|mpL	26590		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fgApB@LLx@HRevUUpPTcViYj@H@@@ !B?dCoY^?jtya??iNgdycoFn?e]pMw_K]|mpL	26590		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
do|D@@QIn[WVeVj@BjHp`@ !B?k|w_Ta}R@K~oxa}?`AH@d`B?hAH@da}R@K~op	318076		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
do|D@@QIn[WVeVj@BjHp`@ !B?k|w_Ta}R@K~oxa}?`AH@d`B?hAH@da}R@K~op	318076		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fhiIP@DDhpDc^BdwJ|lzsfkMMMUUUDDPhcUEj@@ !B_`Bw?H`BfEOjxAbl@@G`yQ`lFa~XTuMg@OyH?Bqg@P@	485738		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fhiIP@DDhpDc^BdwJ|lzsfkMMMUUUDDPhcUEj@@ !B_`Bw?H`BfEOjxAbl@@G`yQ`lFa~XTuMg@OyH?Bqg@P@	485738		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
edzvJD@JILgn]VAKEfP@atHrQQ[JYQQYQQIIZJFIIQZNKQIZXTMSPtvntsSUUPTECAPUCURuTDPhmHEMh@@ !BQ}rx{AjPU}tUlN_buuw~ky\b]?ug?Oy??g@WWV^}MrK~{wnBCuw~HGn}Y{tWHdthYxK~hI]]oE`_wg\b?e|mBJwHYuux{Z_mW?{~Gw\beuw~`K^ByvMUd@\\{?xWw_y_M}p	88100		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
edzvJD@JILgn]VAKEfP@atHrQQ[JYQQYQQIIZJFIIQZNKQIZXTMSPtvntsSUUPTECAPUCURuTDPhmHEMh@@ !BQ}rx{AjPU}tUlN_buuw~ky\b]?ug?Oy??g@WWV^}MrK~{wnBCuw~HGn}Y{tWHdthYxK~hI]]oE`_wg\b?e|mBJwHYuux{Z_mW?{~Gw\beuw~`K^ByvMUd@\\{?xWw_y_M}p	88100		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fle``@G@edbbTRbbNv`mV}PPE@QTDJD@@ !B?`BH?[\BB@K~_?x@mww~@NnMbOvH@k\BmpK~_{]}bOw~i~Rr	454176		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fle``@G@edbbTRbbNv`mV}PPE@QTDJD@@ !B?`BH?[\BB@K~_?x@mww~@NnMbOvH@k\BmpK~_{]}bOw~i~Rr	454176		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fleAP@@HdFJSKLrs|z|yKT@PPC@@@@ !B`db}rDB~O?yBjDKw_Ta}M?uH@Oy@_grhO?z?`TJWpHD}ROtw	255532		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fleAP@@HdFJSKLrs|z|yKT@PPC@@@@ !B`db}rDB~O?yBjDKw_Ta}M?uH@Oy@_grhO?z?`TJWpHD}ROtw	255532		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
f`qPP@DX@IWlbbbRbRQsNFluTttuRJDFh@@ !ByDw~_x`BbOvw?Xc}b@IOteD?yCKdSRm{wuf?SaUD	107119		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
f`qPP@DX@IWlbbbRbRQsNFluTttuRJDFh@@ !ByDw~_x`BbOvw?Xc}b@IOteD?yCKdSRm{wuf?SaUD	107119		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fhiHb@LBdFB@AFRREQQII[Z][ru@@@D@@@ !B`c\CM}\BBDIwo\`C_h@woHF?BHIH`g^}C{u~@HE?BHH	2131		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fhiHb@LBdFB@AFRREQQII[Z][ru@@@D@@@ !B`c\CM}\BBDIwo\`C_h@woHF?BHIH`g^}C{u~@HE?BHH	2131		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ffcHb@LBLfB@AFRREQQIQHsI[WcNKUZ`dJ`H@P@@ !BoS_|Ms_|b@JwoTa}?`BgkFWoR@IH@j^S?hB??oz@r@Jw@dc|_hC~`K_|	153330		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ffcHb@LBLfB@AFRREQQIQHsI[WcNKUZ`dJ`H@P@@ !BoS_|Ms_|b@JwoTa}?`BgkFWoR@IH@j^S?hB??oz@r@Jw@dc|_hC~`K_|	153330		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fn}aB@KZ@DYHhhd\ihldddJUAPEUUUTHTPX`@ !Bb@K~_?x@bGvw_Xa}b@JH@ha}b@K~@Ha}b@K~_xa}b@JH_X`BbGvH@ha}b@H	586555		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fn}aB@KZ@DYHhhd\ihldddJUAPEUUUTHTPX`@ !Bb@K~_?x@bGvw_Xa}b@JH@ha}b@K~@Ha}b@K~_xa}b@JH_X`BbGvH@ha}b@H	586555		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fhy`A@A@bOAFQQQIFIJYLxZw`pDEUMIP@@ !Br@OAg|abf@OWgQ`CRNHW?M_]?`@W`m\b?fBOiX~ZH}`	60319		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fhy`A@A@bOAFQQQIFIJYLxZw`pDEUMIP@@ !Br@OAg|abf@OWgQ`CRNHW?M_]?`@W`m\b?fBOiX~ZH}`	60319		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
flea`@F@bgHhhhdhebmIVTYhIBhjXP@@ !B?`@hpd?JjGv~pD_SeQCHplcBi~s^w}}AolBoe\aBu?q~pM]}	118617		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
flea`@F@bgHhhhdhebmIVTYhIBhjXP@@ !B?`@hpd?JjGv~pD_SeQCHplcBi~s^w}}AolBoe\aBu?q~pM]}	118617		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fhqPa@LBMX@P`HrJIIJJZIGpVjj`X@`r`@ !B?g~w_Xa}mpJH@k]}bGw~_{\BbOs~_?x@mwvH_Xa}?g|	1249001		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fhqPa@LBMX@P`HrJIIJJZIGpVjj`X@`r`@ !B?g~w_Xa}mpJH@k]}bGw~_{\BbOs~_?x@mwvH_Xa}?g|	1249001		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ehzvJ@@DJCDmnPMHaf\bbTTRTRaTRTNbJbbRbVbQRTbT\JzaiIEMCZ`hF`fBbjB`jFjjj@i`aAJiOHeBp@ !B?cCWhgbbn~tx{_y`Y~K~CscbNJK~TF_mA}w~XEcm~~K~MwnRVJJXxc^m_`BXg_xw]yHMQL~]XbPOo`^b?g]MNKTx?eBGgP_mU{xX|h^R?g_~]unmQ~tg{R^RXd_mQ?yw	17169		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ehzvJ@@DJCDmnPMHaf\bbTTRTRaTRTNbJbbRbVbQRTbT\JzaiIEMCZ`hF`fBbjB`jFjjj@i`aAJiOHeBp@ !B?cCWhgbbn~tx{_y`Y~K~CscbNJK~TF_mA}w~XEcm~~K~MwnRVJJXxc^m_`BXg_xw]yHMQL~]XbPOo`^b?g]MNKTx?eBGgP_mU{xX|h^R?g_~]unmQ~tg{R^RXd_mQ?yw	17169		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fle`B@M@bLbbRrdTVblhqUh@Jjjjb@@ !BM?s~@C_}MxIw?G^}Mwpw?RQdFvS~os_|FvRw_Ta}m?tw?Oz?	358192		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fle`B@M@bLbbRrdTVblhqUh@Jjjjb@@ !BM?s~@C_}MxIw?G^}Mwpw?RQdFvS~os_|FvRw_Ta}m?tw?Oz?	358192		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fcIa@BLbvj}`dERAPdIBPdIBPbIbIBIBXL\tyHVyKADUEUSSULUH}@h@ !B?bAH@m\BJCw~`C]}?h@h`ox?JDHw@e\B?e|w@db}JGw~POz@@{o\n?y@?g|hPhE_MpK~PC]]	65351		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
fcIa@BLbvj}`dERAPdIBPdIBPbIbIBIBXL\tyHVyKADUEUSSULUH}@h@ !B?bAH@m\BJCw~`C]}?h@h`ox?JDHw@e\B?e|w@db}JGw~POz@@{o\n?y@?g|hPhE_MpK~PC]]	65351		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
dg}L`JXiTIAIf]VunNzVjZj`@ !BPk_}]pC~ow{|]?qw@Ox@?orwKIclYq@UXIh	24522		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
dg}L`JXiTIAIf]VunNzVjZj`@ !BPk_}]pC~ow{|]?qw@Ox@?orwKIclYq@UXIh	24522		0		Ki	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
ebQZLD@G@bm`QID`HcRHrJJIJQYKZIIFIKJIKJL\FVYESK_@pDEUUUK@AUUTTREBLP@ !BM?pAPC^}upIH@c^BustZ{y`lM?pwoXC~fEM~@@b}fJrgkDa|Y^@ZxH`}rGs~_tb}BKv~_tb}_k}H_@b}RCuH_Db}RGr~op	259959		0		IC50	0	0	0	0		Escherichia coli	24	HMG-CoA reductase	Homo sapiens	Target is a single protein chain	P04035				
